guess,guess_pool_shrink,solution_pool_shrink
ARTSY,0.9513329257433689,0.944429091892951
HASTE,0.9513290629626595,0.9429098423745971
PRATE,0.9513188399137137,0.9523272488092962
SEHRI,0.9513092495616078,0.9411513791639647
SKATE,0.9512889366630504,0.936201409718756
LOIRS,0.9512782474164324,0.9468432469246951
ADORE,0.9512742847362221,0.9498638329236038
SEITY,0.9512686570643266,0.9389077711796013
BASER,0.9512685238649919,0.9453378053729784
ROUES,0.9512274318702053,0.9461274717892978
ROILS,0.9512143450355609,0.9467848429577039
LITES,0.9512067526734771,0.9486692572153623
TRAPE,0.9511908020531347,0.9520779590332558
SHERO,0.9511820108970376,0.9398155516889103
SOGER,0.9511790472118382,0.9404512779366418
SOAVE,0.9511776486188228,0.9355720276719115
STEIN,0.9511609654021388,0.9407748321818918
DEAIR,0.9511540723365628,0.951118678540274
COATE,0.9511439158872841,0.9532053608497498
TRINE,0.9511379552170517,0.95261311103751
TORSI,0.9511149783317983,0.9448420247330537
RAGES,0.9511001266059678,0.9474022829793487
DREST,0.9510922345453807,0.9438799453279157
MORSE,0.9510814453992616,0.9405066963973335
LACES,0.951079946906745,0.9482022120735741
LEADS,0.9510794807090734,0.9443617314070598
SEPTA,0.9510566037233209,0.9397707690944118
LOANS,0.9510483453645633,0.9446339722627805
SUTRA,0.9510389215116258,0.9408910803334437
SLAKE,0.9509591351100792,0.9356416272875276
OILER,0.9508796484070358,0.9537615979922469
TROIS,0.950856937920452,0.9459957363238154
TEARY,0.950848945960364,0.9532773861892345
ROSIT,0.9508477471663506,0.9459369591685366
TRIOS,0.9508321961440126,0.9459429301811363
SONCE,0.9508306310518285,0.9397131115039954
CESTA,0.9508168449206765,0.9466575857516712
YATES,0.9508087197612536,0.9461823304675584
TELIA,0.9507852766783282,0.9545352173122047
HEAST,0.9507781172140827,0.9416322322723901
PASEO,0.950756172623674,0.942452873316571
CAUSE,0.9507373249177993,0.9427846377041457
REACT,0.9507315640465691,0.9551543366811434
SAYED,0.9507144146322134,0.9364406234110342
ASPIE,0.9507043913822696,0.9407416184243056
TRIAL,0.9506631328883143,0.9533861705750365
STAKE,0.9506620672936358,0.935096585793655
SEARE,0.9506560733235698,0.936684501956906
PORAE,0.9506341287331613,0.9512231712607699
BEARS,0.9506209752988495,0.9440618746180651
COSIE,0.9506177119151468,0.9435261628313795
RAYNE,0.950602993388651,0.9515030624763843
BEAST,0.9505712253473008,0.9404634065559853
SCONE,0.9505651647775671,0.9383061916601747
LATEN,0.9505445521805065,0.9550444327304788
ARIOT,0.9505442857818369,0.9522268611599626
TOLAS,0.950527236266982,0.9467290513087248
RELIT,0.9505173795162066,0.9544956593537312
SIMAR,0.9505111524473048,0.9384272912594637
SADHE,0.9504794510056216,0.937198942011205
AIERY,0.9504709928478617,0.9517469410222561
CARET,0.9504595710049022,0.9565384920394274
SPEAL,0.9504453186760786,0.9386763944413605
STEAM,0.950393537434674,0.9372414854759782
ALTOS,0.9503907402486432,0.9455742201531004
SAVER,0.950368962157403,0.9390980972062191
PARLE,0.9503350629266958,0.9512882926169363
YALES,0.9502837811827967,0.9458283613768781
CRIES,0.9502348304272568,0.9486166376668269
BARES,0.9502019967912281,0.945803171167473
ARISH,0.9502010643958843,0.9420455383007804
LOTAS,0.9501890431559185,0.9462633123259429
RANCE,0.9501873448643998,0.9526974515904818
ALIEN,0.9501805516983247,0.9525241056309447
LUSER,0.9501753902241011,0.9454773777924979
SILED,0.9501669653661748,0.9392449467973448
UREAL,0.9501464859684491,0.9524084172618243
TILER,0.9501156170226086,0.9549166157420148
TOLAR,0.9500795200028772,0.9540051033498312
BASTE,0.9500550446251073,0.941199333858907
RAMIE,0.950052713636748,0.9494467950123384
STIED,0.9500519144407393,0.9373069800204322
HOISE,0.9500192473038789,0.9393524250241405
ONSET,0.949972094739359,0.9440885575806205
RIOTS,0.9499502167486178,0.9453973289048322
SWALE,0.9499319351399159,0.9367050273127178
SLIME,0.9499116222413585,0.9364734639803329
SITED,0.9499098240503387,0.9380143584193609
SABIR,0.9499083921574896,0.9383209325975306
SLOPE,0.9499048290752836,0.9370162663444811
SHADE,0.9499019319897516,0.935801538468715
TRUES,0.9498953053228453,0.9467492034762488
LORIS,0.949854279927726,0.9462763739160047
SONDE,0.9498448893746225,0.9360289967299377
YEANS,0.9498442566777822,0.9422640400431033
SLATY,0.9497739274290063,0.9373053006731381
NACRE,0.9497724955361572,0.9521968195028199
ROADS,0.9497646700752378,0.9416354043728338
LEARY,0.9497101582474697,0.950957647794224
POISE,0.9497073943612725,0.9366380400151142
DEANS,0.9496936748297878,0.9423091958258891
SUCRE,0.9496922762367724,0.9395476024984954
BRISE,0.9496919099386019,0.940591969921024
ORANT,0.9496863488663737,0.951784633039292
NOELS,0.949657078312551,0.9444854433243612
KESAR,0.9496423264862216,0.9409407143756792
SMOTE,0.9496278410585619,0.9344586204161982
GRISE,0.9496204484954802,0.9411261889545598
GORSE,0.9496199489979747,0.9412275095746119
SARGO,0.9496053969706475,0.9386840448012539
LENOS,0.949591544239828,0.9451407619571859
AREIC,0.9495896794491409,0.95245058753831
ALECS,0.9495844180754159,0.945471033591611
SOBER,0.9495805885945406,0.9374437535277954
LITER,0.949576326215827,0.9540784348483223
AUNES,0.9495757934184875,0.9443800176331466
SMART,0.9495568791129455,0.9365803824246977
TONES,0.9495565794144425,0.9457936548661421
BROSE,0.9495333361305195,0.9388428364175789
HEALS,0.9495288406529698,0.9442499615149577
OATEN,0.9495195166995337,0.9534122937551605
AGERS,0.9495194833996999,0.9440749362081273
NITRE,0.9495076286589026,0.9516327454062854
SPEAN,0.9495051311713749,0.9367367483171541
SAULT,0.9495023339853439,0.9392589413581254
DOSER,0.949497139211287,0.9423103153907513
MARLE,0.9494942421257547,0.9490528947748975
NOLES,0.9494814216897801,0.9461843830031395
PEATS,0.9494141893255384,0.9412551255078859
ROSED,0.9493843526745427,0.9426187555103583
SHIEL,0.9493517188375161,0.9401542200598035
SNEAP,0.9493101273452241,0.9364337194277159
RIMAE,0.9493040667754906,0.9490430052852792
SNIRT,0.9492899143461678,0.939912953831944
SLAID,0.9492853522689508,0.9352350386483121
RATHE,0.9492789587008802,0.9519490224799296
CANES,0.94926500607056,0.9463517579500768
HALES,0.9492613763886864,0.9453159738581604
ELAIN,0.9492606437923448,0.95012039987125
GRATE,0.9492497880465586,0.9505116877906787
SMILE,0.9492443268738315,0.9358183319416521
AMIES,0.9492426618821466,0.941284793976741
SINCE,0.9492327385317039,0.9382270757432278
SPART,0.949229275348999,0.9371295289897328
COSTE,0.9492042671738898,0.942931673889415
SLIPE,0.9492030350800429,0.9357655257989728
